MIDA,,ESDE,,NOVA,,NENG,,NHME,,CTWM,,SOPA,,WCFL
Anne Arundel MD,,Caroline MD,,Alexandria VA,,Barnstable MA,,Bellknap NH,,Berkshire MA,,Adams PA,,Citrus FL
Baltimore City MD,,Dorchester MD,,Arlington VA,,Bristol MA,,Carroll NH,,Fairfield CT,,Berks PA,,DeSoto FL
Baltimore County MD,,Kent DE,,Caroline VA,,Bristol RI,,Cheshire NH,,Franklin MA,,Carbon PA,,Hardee FL
Berkeley WV,,Kent MD,,Charles City VA,,Essex MA,,Cumberland ME,,Hampden MA,,Chester PA,,Hernando FL
Calvert MD,,Queen Anne's MD,,Chesterfield VA,,Kent RI,,Grafton NH,,Hampshire MA,,Columbia PA,,Hillsborough FL
Carroll MD,,Somerset MD,,Clarke VA,,Middlessex MA,,Hillsborough NH,,Hartford CT,,Cumberland PA,,Manatee FL
Cecil MD,,Sussex DE,,Colonial Heights VA,,Newport RI,,Merrimack NH,,Litchfield CT,,Dauphin PA,,Pasco FL
Charles MD,,Talbot MD,,Culpeper VA,,Norfolk MA,,Rockingham NH,,Middlessex CT,,Juniata PA,,Pinellas FL
District of Columbia,,Wicomico MD,,Essex VA,,Plymouth MA,,Strafford NH,,New Haven CT,,Lancaster PA,,Polk FL
Fredrick MD,,Worcester MD,,Fairfax VA,,Providence RI,,Sullivan NH,,New London CT,,Lebanon PA,,Sarasota FL
Harford MD,,,,Falls Church VA,,Suffolk MA,,York ME,,Tolland CT,,Lehigh PA,,
Howard MD,,,,Fauquier VA,,Suffolk MA,,,,Windham CT,,Montour PA,,
Jefferson WV,,,,Fredrick VA,,Washington RI,,,,,,Northumberland PA,,
Montgomery MD,,,,Fredricksburg VA,,Worcester MA,,,,,,Perry PA,,
Morgan WV,,,,Gloucester VA,,,,,,,,Schuylkill PA,,
Prince George's MD,,,,Goochland VA,,,,,,,,Snyder PA,,
St Mary's MD,,,,Hanover VA,,,,,,,,Union PA,,
Washington MD,,,,Henrico VA,,,,,,,,York PA,,
,,,,Hopewell VA,,,,,,,,,,
,,,,King and Queen VA,,,, ,,,,,,
,,,,King George VA,,,,,,,,,,
,,,,King William VA,,,,,,,,,,
,,,,Lancaster VA,,,,,,,,,,
,,,,Loudon VA,,,,,,,,,,
,,,,Louisa VA,,,,,,,,,,
,,,,Madison VA,,,,,,,,,,
,,,,Manassas Park VA,,,,,,,,,,
,,,,Manassas VA,,,,,,,,,,
,,,,Mathews VA,,,,,,,,,,
,,,,Middlesex VA,,,,,,,,,,
,,,,New Kent VA,,,,,,,,,,
,,,,Northumberland VA,,,,,,,,,,
,,,,Orange VA,,,,,,,,,,
,,,,Petersburg VA,,,,,,,,,,
,,,,Powhatan VA,,,,,,,,,,
,,,,Prince William VA,,,,,,,,,,
,,,,Rappahanncock VA,,,,,,,,,,
,,,,Richmond City VA,,,,,,,,,,
,,,,Richmond County VA,,,,,,,,,,
,,,,Spotsylvania VA,,,,,,,,,,
,,,,Stafford VA,,,,,,,,,,
,,,,Warren VA,,,,,,,,,,
,,,,Westmoreland VA,,,,,,,,,,
,,,,Winchester VA,,,,,,,,,,
